Origin,longitude_deg,latitude_deg
ORD,-87.9048,41.9786
DTW,-83.353786,42.21377
CVG,-84.667801,39.048801
MDW,-87.752403,41.785999
PHL,-75.241096,39.871899
BDL,-72.688066,41.93851
BZN,-111.153,45.7775
DCA,-77.037697,38.8521
LAX,-118.407997,33.942501
STL,-90.370003,38.748697
HOU,-95.2789,29.645399
RDU,-78.787498,35.877602
PHX,-112.005905,33.435302
MEM,-89.9767,35.0424
ATL,-84.428101,33.6367
LIT,-92.223728,34.729582
MCO,-81.30899810791016,28.429399490356445
SMF,-121.591003,38.6954
GSO,-79.937302,36.097801
SAN,-117.190002441,32.7336006165
BOI,-116.223,43.5644
LGB,-118.149891,33.816523
FSD,-96.741152,43.585463
DAL,-96.851799,32.847099
BWI,-76.668297,39.1754
SEA,-122.310276,47.447943
FLL,-80.152702,26.072599
DFW,-97.038002,32.896801
LGA,-73.872597,40.777199
BOS,-71.0079,42.36197
DEN,-104.672996521,39.861698150635
MIA,-80.29060363769531,25.79319953918457
IAD,-77.455803,38.9445
BNA,-86.6782,36.1245
GJT,-108.529387,39.126663
CLE,-81.8498,41.411701
SJC,-121.929188,37.362452
MSP,-93.221741,44.880081
IAH,-95.34140014648438,29.984399795532227
MHT,-71.435699,42.932598
EWR,-74.168701,40.692501
FAI,-147.856003,64.815102
ONT,-117.600998,34.056
TLH,-84.350304,30.3965
SNA,-117.867996,33.675701
PDX,-122.598,45.588699
MCI,-94.713898,39.2976
SFO,-122.374821,37.619806
HNL,-157.924228,21.32062
CLD,-117.279999,33.1283
ELP,-106.377998,31.807199
LAS,-115.151817,36.083361
SLC,-111.979866,40.78886
TPA,-82.533203,27.9755
CAE,-81.119499,33.938801
COS,-104.700996,38.805801
OAK,-122.221184,37.720085
CHS,-80.040497,32.898602
TVC,-85.58219909667969,44.74140167236328
RSW,-81.75520324707031,26.53619956970215
PWM,-70.309303,43.646198
CLT,-80.94309997558594,35.2140007019043
AVL,-82.541801,35.436199
GGG,-94.71150207519531,32.38399887084961
MDT,-76.763397,40.193501
OGG,-156.431837,20.896263
